store_name,tel_number,keyword,closed_holiday,food_category,distance,breaktime,opentime,address,created_at,updated_at,price_feel
도쿄식탁,02-977-8762,"['가츠동', '맛집']",토요일,일식,10분,15:00-17:00,11:00-21:00,서울 노원구 공릉로46길 9 2층,-,-,2
쉐프의 그릴,070-7745-9292,"['이베리코', '맛집']",일요일,한식,5분,15:00-17:30,11:30-22:30,서울 노원구 동일로198길 78,-,-,3
버거투버거(벅투벅),02-948-6777,"['수제버거', '맛집']",일요일,양식,15분,15:00-16:00,평일 11:00-19:30 | 토요일 11:00-15:00,서울 노원구 공릉로62가길 50,-,-,1
핏짜굽는언니,02-979-0234,"['피자', '파스타']",-,양식,5분,-,매일 11:00 - 22:00 | Last order 21:00,서울 노원구 동일로198길 58,-,-,3
돈카츠방,02-948-1291,"['돈카츠', '치킨카츠']",연중무휴,일식,10분,-,11:00-22:00,서울 노원구 동일로184길 69-3,-,-,3
네코정,02-948-2904,"['가츠동', '덮밥']",일요일,일식,5분,-,11:00-21:00,서울 노원구 화랑로51가길 11-20,-,-,3
일상다반,02-971-0666,"['가츠동', '덮밥']",일요일,일식,10분,15:00-17:00,11:30-22:00,서울 노원구 동일로186길 77-17,-,-,3
스시쟁이,02-972-5944,"['초밥', '회덮밥']",-,일식,5분,-,11:30-23:00,서울 노원구 공릉로 197,-,-,3
맛보면못참치,02-949-3779,['초밥'],일요일,일식,5분,-,11:30-01:00,서울 노원구 공릉로 213,-,-,3
우진상,070-7724-4315,"['라멘', '가츠동']",-,일식,5분,15:00-17:00,11:00-02:00,서울 노원구 동일로192길 80,-,-,2
스시류,02-977-7750,"['초밥', '회덮밥']",일요일,일식,15분,14:30-17:00,11:30-22:00,서울 노원구 공릉로58길 131,-,-,3
닛본우동 돈가스생생면,02-975-5505,"['돈까스', '우동']",-,일식,5분,-,평일 11:00-21:00 | 주말 11:00-20:00,서울 노원구 공릉로 213,-,-,2
로지스시,02-972-4003,"['스시', '초밥']",일요일,일식,5분,13:30-17:00,오전 12:00-13:30 | 오후 17:00-20:00,서울 노원구 동일로192길 87,-,-,3
밥은,-,"['덮밥', '라면']",-,한식,5분,-,10:30-21:00,서울 노원구 공릉로 208,-,-,1
쪼매매운떡볶이,02-977-1120,"['떡볶이', '튀김']",토요일,분식,5분,-,11:00-23:00,서울특별시 노원구 공릉로 208,-,-,1
용감한떡볶이이,02-949-7988,"['떡볶이', '튀김']",월요일,분식,5분,-,11:30-22:00,서울 노원구 공릉로 208,-,-,1
삐삐핵볶이,02-972-8582,"['떡볶이', '튀김']",-,분식,5분,-,11:00-23:00,서울 노원구 공릉로 227,-,-,1
지지고 과기대점점,02-977-5678,['컵밥'],-,한식,5분,-,-,서울 노원구 공릉로 225,-,-,1
아이엠돈까스,02-976-0316,"['돈까스', '피자']",명절,양식,5분,-,11:30-21:00,서울 노원구 동일로198길 60,-,-,2
아이엠부대찌개,02-978-0316,['부대찌개'],연중무휴,한식,5분,-,11:30-22:00,서울 노원구 동일로198길 24,-,-,2
홍가부대찌개 과기대점,02-972-0953,['부대찌개'],"둘째,넷째 토요일",한식,5분,-,10:00-21:00,서울 노원구 공릉로 229,-,-,2
나리네,02-973-1202,"['김치찌개', '부대찌개']",-,한식,5분,-,10:00-22:00,서울 노원구 공릉로51길 4,-,-,1
국수나무 공릉점,02-972-2229,"['가츠동', '돈까스']",-,한식,10분,-,10:30-21:30,서울 노원구 공릉로4길 6,-,-,2
육쌈냉면 공릉점,02-975-6392,"['냉면', '비빔냉면']",-,한식,5분,-,11:30-21:30,서울 노원구 공릉로 207 세림빌딩,-,-,2
맥도날드 과학기술대점,070-7209-0615,['햄버거'],-,양식,5분,-,00:00-24:00,서울 노원구 공릉로 231,-,-,2
소문날라,02-974-5252,"['김치찌개', '부대찌개']",-,한식,5분,-,-,서울 노원구 공릉로 213 동신아파트,-,-,1
대성식당,02-972-2630,"['덮밥', '찌개']",-,한식,5분,-,-,서울 노원구 공릉로 239,-,-,1
맘스터치,02-978-8292,['햄버거'],-,양식,5분,-,11:00-23:00,서울 노원구 공릉로 223,-,-,2
고배우의 깜장떡볶이,02-977-4959,"['떡볶이', '튀김']",화요일,분식,5분,-,11:00-23:00,서울 노원구 공릉로 221,-,-,1
봉구스밥버거 서울과기대점,02-971-0909,"['밥버거', '주먹밥']","토요일,공휴일",한식,5분,-,7:30-20:30,서울 노원구 공릉로 221,-,-,1
치즈밥있슈 과기대점,02-948-2260,"['치즈밥', '부대찌개']",-,한식,5분,-,-,서울 노원구 공릉로 211,-,-,1
오븐에빠진닭 공릉점,02-3296-5892,['치킨'],-,양식,5분,-,17:00-02:00(Last order 01:00),서울 노원구 공릉로 211 동신아파트,-,-,2
동대문엽기떡볶이 공릉점,02-971-8592,['떡볶이'],-,분식,"['배달', '5분']",-,11:00-24:00,서울 노원구 공릉로 213,-,-,2
내가 찜한 닭,050-7893-2218,['찜닭'],-,양식,5분,-,11:00-21:30,서울 노원구 공릉로 211 동신아파트 상가,-,-,2
공덕관,02-974-9090,"['짜장면', '짬뽕']",-,중식,10분,-,10:30-21:00,서울 노원구 동일로192길 38,-,-,1
왕짜장,02-972-9822,"['짜장면', '짬뽕']",일요일,중식,5분,-,10:00-22:00,서울 노원구 공릉로 201,-,-,1
몽키돈가스,02-973-3545,"['돈까스', '덮밥']",-,양식,5분,-,10:30-22:30,서울 노원구 공릉로 223,-,-,2
김밥천국,-,"['김밥', '라면']",-,분식,5분,-,00:00-24:00,서울특별시 노원구 공릉로 191 새봄약국,-,-,1
써브웨이 공릉점,02-977-0045,"['샌드위치', '쿠키']",-,양식,5분,-,08:00-23:00,서울 노원구 동일로192길 91,-,-,2
색다른 탕수육,02-972-1037,['탕수육'],-,중식,5분,-,12:00-24:00,서울 노원구 공릉로 223 1층 4호,-,-,2
봉평 메밀촌,02-971-9999,"['막국수', '칼국수']",연중무휴,한식,10분,-,11:00-22:00,서울 노원구 동일로192길 16,-,-,2
한솥도시락 서울과학기술대앞점,02-949-5506,"['도시락', '치킨마요']",-,한식,5분,-,07:00-21:00,서울 노원구 공릉동 440-1 도곡빌딩 1층,-,-,3
세겹먹는날,02-972-8322,['삼겹살'],-,한식,5분,-,15:00-02:00,서울 노원구 공릉로51길 4,-,-,2
칼짚통삼겹살(궁안뜰),02-973-8211,['삼겹살'],-,한식,5분,-,-,서울 노원구 공릉로51길 7,-,-,3
24시 우동한그릇,-,"['우동', '짜장면']",-,한식,5분,-,00:00-24:00,서울륵별시 노원구 공릉로 206 동부아파트,-,-,1
무봉리토종순대국 공릉역점,02-977-7396,['순대국'],-,한식,10분,-,00:00-24:00,서울 노원구 동일로192길 63,-,-,2
뽕신,02-979-3890,['짬뽕'],-,양식,15분,15:00-16:00,11:30-21:30,서울 노원구 동일로 1078 대경상운,-,-,2
더진국 공릉점,02-949-9882,"['국밥', '순대국']",-,한식,10분,-,00:00-24:00,서울 노원구 동일로192길 77,-,-,2
리틀파스타 공릉직영점,02-974-0201,"['파스타', '피자']",연중무휴,양식,10분,-,11:00-22:00,서울 노원구 동일로192길 62,-,-,2
유연카레,02-977-4700,"['카레', '돈까스']","일요일, 공휴일",일식,15분,-,10:30-20:30,서울 노원구 공릉로58길 117,-,-,2
옐로우 어니언,02-978-0666,"['카레', '우동']",일요일,일식,10분,15:00-17:00,11:30-22:00,서울 노원구 공릉로41나길 31,-,-,2
